BIO,PHASEANGLE
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
472.1279907,492.3169861
461.1860046,239.1399994
231.7460022,643.4680176
601.7919922,779.5239868
323.5960083,699.1010132
580.5319824,292.8059998
292.1879883,686.2089844
581.302002,550.7600098
413.4989929,256.7659912
365.4830017,684.4000244
230.4259949,377.0910034
469.67099,403.0830078
715.3010254,554.7800293
740.5020142,666.7379761
700.9069824,783.2670288
575.1380005,723.4110107
267.105011,233.1340027
519.1539917,581.9160156
675.1719971,474.1270142
518.9970093,285.5480042
450.4240112,366.4169922
535.7039795,779.1740112
716.2869873,229.0140076
527.3989868,240.473999
513.8950195,710
293.4370117,389.4819946
274.7369995,572.0759888
582.5360107,392.9190063
512.0089722,469.8269958
339.993988,397.4349976
358.5920105,587.1710205
591.9110107,441.4349976
314.3410034,430.2640076
270.4249878,662.4979858
583.3809814,317.7869873
775.5360107,768.7969971
400.625,643.6959839
609.4710083,440.1809998
479.0820007,411.79599
629.5200195,492.8930054
475.2780151,541.9890137
487.9249878,344.1839905
446.2529907,709.9039917
293.4590149,392.4509888
535.0100098,268.8059998
716.3779907,431.7799988
741.5139771,347.0799866
353.2780151,370.1119995
319.7449951,703.6469727
761.0949707,306.3779907
506.4159851,796.0200195
325.8970032,636.2360229
675.6939697,395.6900024
296.625,344.6669922
618.4860229,323.9410095
724.8449707,780.2979736
518.5770264,397.3710022
203.996994,563.9489746
470.6640015,539.0579834
563.3339844,628.5720215
694.2999878,728.8300171
532.3179932,297.5859985
582.3099976,484.8439941
662.4609985,737.1190186
382.3720093,215.3079987
544.9730225,731.4290161
317.4790039,602.2819824
682.2999878,663.6019897
378.0589905,601.8690186
614.3959961,563.4860229
375.9500122,456.1799927
309.8320007,276.8340149
366.881012,739.46698
670.2269897,663.4730225
374.6210022,715.5120239
467.1470032,726.5949707
676.9030151,470.2319946
297.0660095,654.1049805
472.2590027,472.9159851
695.6350098,526.9970093
569.4400024,542.1519775
783.2739868,695.0969849
