BIO,PHASEANGLE
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
729.4959717,473.1499939
202.5399933,207.5509949
772.2399902,308.1740112
359.5029907,266.9750061
568.2139893,771.3410034
365.1889954,397.5700073
503.2940063,586.559021
533.2420044,530.6400146
720.7579956,321.6749878
712.3759766,675.0020142
529.5529785,443.6279907
697.6409912,524.2700195
438.552002,395.2170105
425.9259949,762.2189941
583.0170288,311.3590088
511.2730103,759.0130005
391.8269958,526.2810059
249.1759949,278.4710083
712.7839966,278.5899963
741.7310181,488.3800049
753.3150024,620.2550049
352.0570068,391.7349854
366.6480103,466.5559998
468.2340088,518.9719849
360.4609985,440.3410034
682.2529907,475.1910095
254.4790039,304.1879883
343.0899963,349.4410095
463.9989929,636.3389893
601.4169922,376.553009
377.5239868,423.5249939
409.4129944,683.2130127
772.0560303,466.0650024
437.1409912,297.3829956
594.7490234,329.7390137
267.5740051,602.9559937
362.8080139,749.0949707
571.9979858,709.3599854
366.1820068,676.0819702
796.7000122,450.8370056
729.9530029,527.9899902
301.8909912,304.1640015
435.9660034,720.2490234
498.803009,574.0020142
330.3819885,462.6629944
